hash,dog
149028721186215131383166155127123011011736,0
9914117141112016121414781310151114151131593613132,0
11051348109571283940515422781012410113187,0
2631014828180601151090335114141130314138,0
1543413370113921114275241412858141111101089,0
1199138123275510211414413913212138183121294,0
2840925611915870751412326613714153351103,0
31111081273141751381176810331573155145111215,0
45151062536150101183111291431291177656526,0
12212151511165716991215101191062111051352107,0
131375147451451171031193129126688311143121116,0
145892421331210915125690981011249072362,0
1027146715859069349991281180141121056128,0
108013111233150119014130143132499645111495012,0
31100471112201414010515149412110113331012111132,0
054481588913114141121211615771567214151458,0
513151412101015522111279146215131500111021462065,0
10158146641075131312131512215101049310113100117415,0
1445575211293411141051408331010187615652,0
15012145126155212813114208513714146151576104,0
150512400100111270111472319131511751034151514,0
05148210261215101981015010977101461051111308,0
21401411106161295151410411073893301129151214,0
41415811314151141414021015138512909810532311108,0
81015151071133790811131113469261201144551515,0
81555661191221565151244558117514212145851,0
13100281221414103881113125011412121377111121031113,0
115711131212710144414061083109833131167751511,0
111471381151511113914621412511432214144613126114,0
4118121412611483811002641391213027651121110,0
16141312157201260136121112820145758580131238,0
3711091710147011515143121212141061129129010911,0
7121141014712158325439781396771141476455,0
12123151141014442360115121910121231031503212107,0
9562127496159015108913513010055112121333815,0
117146732156151440141155322713122101026419,0
813156105141514104125127135571213101015113341312,0
111161265117136107141147202395414111435531211,0
12125217091112415636115851199159812839101311,0
11311437121213080126109015471948154164010,0
131154122210413591312011080210115210137126209,0
28348110061014071210101210131513851161501414611,0
15001301411415101558341292011111313583119815,0
158260156649110107212101011116107144812151312813,0
1380229116141268041212127399823153126479,0
13733941212541111151281220141276834141115107137,0
136615132111013581315510912815212290151052014,0
82127112141211615153110118110715141129139681,0
7101411612135151115714206391214521133141412123,0
671391149155213142950314781315015015187049,0
22117715581621115131340138047151513015131927,0
212114118135128155141312315414148283119121227,0
10140312606111510207330102127137114415101571313,0
13929313315661544414111112215101417302731114,0
01011122101314415510131578141131413281550510333,0
54112773143101410982152106421575125351059,0
1088119412156133611091043150242151331412404,0
41012511312513015991107611218721312751110991,0
3103861205751515148131481431310118514761511158,0
1061113181289964121994101201155540107151590,0
1217038314814711151051070121331153156101415821,0
23111226010041551332181710120656707211120,0
151514941113452815119141110557101341529149115,0
1115613127459415759026271110746087044314,0
10515621103910127331120416126120813151091412,0
4177131415159105412712812131222121599131512750,0
12153721215710679691081541191549119613152101014,0
14157101111111103591351114713164714123158091413,0
4727414121401434101314388123101221313881241398,0
12108135611144721128116156011734563148397,0
1471549551211531381111071314124760127107141,0
7106151221314155111510131401262710210012913119713,0
710145101212121157779111413821148794114814914,0
1213601563135561413105733122112110457261410,0
115641115113921310111591403131201115021589964,0
111400141266119103640113731710121315121513515112,0
2997127055331246811011093159511810396111,0
142141031115015127480131312101135118131212101911,0
129011082123801213211514131410754156541513612,0
2125514120556971379515611521071029914211813,0
2964913111551204101385991514111477144522602,0
60106641116119813115212121775135003652514,0
3120111380101511141310101515103110042100101544611,0
1111481111139309120621512515110111126221431010,0
913111415089142912141509346139515726156101385,0
153145713588513413131111510141352040842141012,0
1461151521511012831011610511521211102141401511132,0
5102715102240108612530147139731451572651315,0
11014309150614006111017131011588128881110310,0
688041191128660104131442761141215781312141213,0
41198332012365021151391111111011114131560125,0
146812116915151311351089921412117815105021137,0
2015705514111281546913929600910144742512,0
511611112154117145105226151414124195891491115,0
6114131215178801010512141247807414513899514,0
60479100218910810014519126511121442221557,0
1558131403871196781161341051087110682413114,0
87131561265431431101041157111114219011102012,0
141002112111201248121143121010891341356140144,0
10121010310555791120315954141210120118014615,0
1143151510757115131171421461531583121089275411,0
30896121530614117720124120830151512541028,0
91311351513627101312544113410140111542510446,0
6712408134715460148402118120151081212515810,0
150129456111312125931491309331015336310616,0
29011415914128111081181163125414315141331011,0
75101281331238096321515089214103146741414,0
8341271112914131137031215012141515512141015121015,0
23106937041182131210151276132124142969713123,0
721562915115108121315408111361035154333111099,0
641361511208513142371381301211421510102133,0
3311541514723961510122712161491151411190511,0
51358159201431113101314411147110851281511101511109,0
513941013223107101594842484201114414014763,0
143274614491501412143131013111464214111261413101211,0
559512413514715914121071051281533512115158153,0
61080101612311211114124121114921510878561212,0
2566639332315311210554214131491512436135,0
1361171056121294621591312112771587613101100154,0
71513141041210913101118135022228402901312128,0
860631561483128123914530106151312113771113913,0
73890101488841453379315031124614126131157,0
94014119151143413121111125109369120714778012,0
85711130151338171310661315131356131214159151143,0
1510335114715094141342531011130767143431436,0
11710197136580658015398153061524411041212,0
1490153151214125156132051011814141401415141111139,0
88118301413739632381511159758101914128748,0
3371310112101151569112131336026140151314131142,0
12151215101570141321348101461471510113711014411131,0
8354372119498215151011310132411201380012,0
9105131180180857111074814053139961291311112,0
0927154287125112434609505713594129496,0
125113651111067455949224910141955992512,0
1463481320113214142274123360829301281115,0
61513464001513151215141415610101209013013100015159,0
21512114448137432613611141541514136107111314106,0
